timestamp,vibration,time_elapsed
2025-03-31 20:06:54.754360,0.95,8.24712586402893
2025-03-31 20:06:55.658849,0.95,9.151614427566528
2025-03-31 20:06:56.463201,0.95,9.955966711044312
2025-03-31 20:06:57.370284,0.97,10.86305022239685
2025-03-31 20:06:58.173909,0.98,11.666674613952637
2025-03-31 20:06:59.079501,0.97,12.572266817092896
2025-03-31 20:06:59.883212,1.0,13.375978231430054
2025-03-31 20:07:00.788076,1.0,14.280841827392578
2025-03-31 20:07:01.595415,1.0,15.088181018829346
2025-03-31 20:07:02.500299,1.0,15.993064641952515
2025-03-31 20:07:03.303803,1.0,16.796568632125854
2025-03-31 20:07:04.209830,1.01,17.702596187591553
2025-03-31 20:07:05.013681,1.01,18.506446838378906
2025-03-31 20:07:05.917950,0.99,19.410715341567993
2025-03-31 20:07:06.721844,0.98,20.214609622955322
2025-03-31 20:07:07.626415,1.0,21.119181394577026
2025-03-31 20:07:08.430869,0.96,21.92363452911377
2025-03-31 20:07:09.335695,0.96,22.828460454940796
2025-03-31 20:07:10.139427,0.96,23.632193088531494
2025-03-31 20:07:11.043396,0.96,24.53616237640381
2025-03-31 20:07:11.846601,0.96,25.339367389678955
2025-03-31 20:07:12.751912,0.96,26.244678020477295
2025-03-31 20:07:13.556832,0.96,27.04959774017334
2025-03-31 20:07:14.461960,0.96,27.954725980758667
2025-03-31 20:07:15.266317,0.97,28.75908327102661
2025-03-31 20:07:16.170009,0.97,29.66277503967285
2025-03-31 20:07:16.973914,0.97,30.46668028831482
2025-03-31 20:07:17.877459,0.97,31.370225191116333
2025-03-31 20:07:18.681898,0.97,32.17466330528259
2025-03-31 20:07:19.585976,0.97,33.078742265701294
2025-03-31 20:07:20.390964,0.97,33.88372993469238
2025-03-31 20:07:21.295273,0.97,34.78803896903992
2025-03-31 20:07:22.101746,1.15,35.59451174736023
2025-03-31 20:07:23.005578,1.15,36.49834394454956
2025-03-31 20:07:23.812604,1.15,37.30536985397339
2025-03-31 20:07:24.717612,1.2,38.21037769317627
2025-03-31 20:07:25.522133,1.2,39.0148983001709
2025-03-31 20:07:26.427546,1.2,39.92031240463257
2025-03-31 20:07:27.233312,1.19,40.726078033447266
2025-03-31 20:07:28.138811,1.18,41.631577253341675
2025-03-31 20:07:28.944014,1.18,42.43677997589111
2025-03-31 20:07:29.848699,1.23,43.34146428108215
2025-03-31 20:07:30.652899,1.1,44.14566445350647
2025-03-31 20:07:31.558153,1.15,45.05091857910156
2025-03-31 20:07:32.363911,1.21,45.85667681694031
2025-03-31 20:07:33.269571,1.17,46.76233649253845
2025-03-31 20:07:34.074873,1.17,47.567638874053955
2025-03-31 20:07:34.979139,1.2,48.47190475463867
2025-03-31 20:07:35.784440,1.24,49.2772057056427
2025-03-31 20:07:36.688770,1.3,50.18153619766235
2025-03-31 20:07:37.494480,1.36,50.987245321273804
2025-03-31 20:07:38.400583,1.42,51.89334845542908
2025-03-31 20:07:39.204796,1.48,52.697561740875244
2025-03-31 20:07:40.109927,1.43,53.6026930809021
2025-03-31 20:07:40.915021,1.5,54.40778732299805
2025-03-31 20:07:41.819906,1.48,55.31267213821411
2025-03-31 20:07:42.625284,1.46,56.11804962158203
